date,temperature,humidity,pressure,wind_speed,precipitation,season_sin,season_cos,rain
2025-12-31,0.19597989949748754,0.4714285714285714,0.45075757575757724,0.5227272727272727,0.0,0.0,1.0,0
2026-01-01,0.3015075376884422,0.4,0.40151515151515016,0.17727272727272728,0.0,0.0172133562,0.9998518392,0
2026-01-02,0.45728643216080406,0.42857142857142855,0.29545454545454525,0.20909090909090908,0.0,0.0344216116,0.9994074007,0
2026-01-03,0.37688442211055273,0.4714285714285714,0.27272727272727154,0.3409090909090909,0.0,0.0516196672,0.9986668163,0
2026-01-04,0.3015075376884422,0.5571428571428572,0.337121212121213,0.36363636363636365,0.0,0.0688024268,0.9976303053,0
2026-01-05,0.41708542713567837,0.4,0.3712121212121214,0.25,0.0,0.0859647987,0.9962981749,0
2026-01-06,0.7236180904522613,0.07142857142857142,0.31818181818181895,0.04999999999999998,0.0,0.1031016974,0.9946708199,0
2026-01-07,0.9949748743718593,0.0,0.20454545454545475,0.3909090909090909,0.0,0.1202080449,0.9927487225,0
2026-01-08,1.0,0.07142857142857142,0.08333333333333118,0.2636363636363636,0.0,0.1372787721,0.9905324521,0
2026-01-09,0.5527638190954773,0.5,0.05303030303030244,0.45454545454545453,0.0,0.1543088207,0.9880226657,0
2026-01-10,0.25628140703517593,0.4714285714285714,0.39772727272727476,0.7909090909090909,0.0,0.1712931442,0.9852201068,0
2026-01-11,0.23115577889447242,0.5142857142857142,0.5719696969696965,0.4454545454545454,0.0,0.1882267098,0.9821256059,0
2026-01-12,0.2914572864321608,0.4857142857142857,0.42803030303030354,0.33636363636363636,0.0,0.2051044999,0.97874008,0
2026-01-13,0.35678391959799,0.5,0.3106060606060596,0.2863636363636363,0.0,0.221921513,0.9750645323,0
2026-01-14,0.39195979899497485,0.5428571428571428,0.21212121212120977,0.29090909090909095,0.0,0.238672766,0.9711000519,0
2026-01-15,0.27135678391959805,0.6571428571428571,0.3219696969696986,0.7363636363636364,0.6,0.2553532951,0.9668478136,1
2026-01-16,0.3115577889447235,0.6428571428571429,0.30681818181817994,0.5454545454545454,0.0,0.2719581575,0.9623090775,0
2026-01-17,0.4623115577889446,0.4857142857142857,0.17045454545454633,0.2863636363636363,0.0,0.2884824329,0.9574851884,0
2026-01-18,0.7487437185929648,0.21428571428571427,0.06818181818181682,0.1227272727272727,0.0,0.3049212247,0.9523775757,0
2026-01-19,0.5527638190954773,0.45714285714285713,0.09090909090909052,0.5409090909090909,0.0,0.3212696617,0.9469877531,0
2026-01-20,0.48743718592964813,0.5714285714285714,0.1856060606060607,0.5681818181818181,0.1,0.3375228996,0.9413173175,0
2026-01-21,0.29648241206030157,0.5714285714285714,0.32575757575757397,0.6909090909090909,0.0,0.3536761222,0.9353679493,0
2026-01-22,0.30653266331658297,0.34285714285714286,0.40530303030302983,0.36818181818181817,0.0,0.3697245429,0.9291414114,0
2026-01-23,0.6984924623115578,0.014285714285714285,0.22727272727272846,0.29090909090909095,0.0,0.3856634062,0.9226395488,0
2026-01-24,0.9597989949748742,0.0,0.0,0.5318181818181819,0.0,0.4014879892,0.9158642883,0
2026-01-25,0.7035175879396984,0.2714285714285714,0.10227272727272521,0.1909090909090909,0.0,0.4171936026,0.9088176373,0
2026-01-26,0.9748743718592965,0.07142857142857142,0.07575757575757615,0.0818181818181818,0.0,0.4327755926,0.9015016841,0
2026-01-27,1.0,0.05714285714285714,0.06818181818181682,0.6636363636363636,0.0,0.4482293417,0.8939185965,0
2026-01-28,0.5879396984924622,0.44285714285714284,0.34090909090909266,0.4727272727272727,0.0,0.4635502709,0.8860706215,0
2026-01-29,0.7487437185929648,0.24285714285714285,0.3219696969696986,0.45,0.0,0.4787338401,0.8779600847,0
2026-01-30,0.9045226130653266,0.18571428571428572,0.23484848484848347,0.3772727272727272,0.0,0.4937755502,0.8695893893,0
2026-01-31,0.592964824120603,0.45714285714285713,0.22348484848484879,0.43636363636363634,1.3,0.5086709439,0.8609610159,1
2026-02-01,0.27638190954773867,0.4714285714285714,0.5606060606060618,0.6954545454545454,0.0,0.5234156074,0.8520775211,0
2026-02-02,0.28140703517587945,0.2714285714285714,0.6856060606060607,0.1909090909090909,0.0,0.5380051715,0.8429415374,0
2026-02-03,0.5226130653266332,0.05714285714285714,0.5037878787878797,0.1409090909090909,0.0,0.5524353132,0.8335557718,0
2026-02-04,0.5577889447236181,0.02857142857142857,0.44696969696969757,0.14545454545454542,0.0,0.5667017563,0.8239230058,0
2026-02-05,0.4623115577889446,0.38571428571428573,0.5378787878787881,0.3181818181818182,0.1,0.5808002735,0.8140460935,0
2026-02-06,0.4974874371859297,0.38571428571428573,0.48484848484848564,0.21818181818181814,0.0,0.594726687,0.8039279618,0
2026-02-07,0.6231155778894473,0.2571428571428571,0.337121212121213,0.22727272727272727,0.0,0.6084768701,0.793571609,0
2026-02-08,0.5577889447236181,0.5142857142857142,0.3030303030303046,0.2772727272727273,0.0,0.6220467484,0.7829801037,0
2026-02-09,0.507537688442211,0.42857142857142855,0.35227272727272735,0.2681818181818182,0.0,0.6354323009,0.7721565845,0
2026-02-10,0.6984924623115578,0.3,0.2992424242424249,0.0,0.0,0.648629561,0.7611042587,0
2026-02-11,0.5879396984924622,0.42857142857142855,0.1742424242424217,0.5136363636363636,1.1,0.6616346182,0.7498264012,1
2026-02-12,0.18592964824120597,0.45714285714285713,0.4393939393939382,0.6090909090909091,0.0,0.6744436188,0.738326354,0
2026-02-13,0.2613065326633165,0.4,0.492424242424245,0.3909090909090909,0.0,0.6870527672,0.7266075248,0
2026-02-14,0.4522613065326633,0.4,0.42803030303030354,0.13636363636363635,0.0,0.6994583271,0.714673386,0
2026-02-15,0.6984924623115578,0.2857142857142857,0.24999999999999784,0.2772727272727273,0.0,0.7116566223,0.7025274742,0
