datetime,temperature,humidity,pressure,wind_speed,precipitation,season_sin,season_cos,hour_sin,hour_cos,rain,rain_lasthour
2026-01-01 00:00:00,14.3,70,1014.4,8.2,0.0,0.0172133562,0.9998518392,0.0,1.0,0,0.0
2026-01-01 01:00:00,13.8,69,1014.1,4.7,0.0,0.0172133562,0.9998518392,0.2588190451,0.9659258263,0,0.0
2026-01-01 02:00:00,12.7,72,1014.1,2.9,0.0,0.0172133562,0.9998518392,0.5,0.8660254038,0,0.0
2026-01-01 03:00:00,12.0,73,1014.1,1.6,0.0,0.0172133562,0.9998518392,0.7071067812,0.7071067812,0,0.0
2026-01-01 04:00:00,11.1,74,1014.5,1.5,0.0,0.0172133562,0.9998518392,0.8660254038,0.5,0,0.0
2026-01-01 05:00:00,10.8,75,1015.2,2.3,0.0,0.0172133562,0.9998518392,0.9659258263,0.2588190451,0,0.0
2026-01-01 06:00:00,12.6,63,1015.9,2.1,0.0,0.0172133562,0.9998518392,1.0,0.0,0,0.0
2026-01-01 07:00:00,14.4,54,1016.3,1.1,0.0,0.0172133562,0.9998518392,0.9659258263,-0.2588190451,0,0.0
2026-01-01 08:00:00,16.6,47,1016.3,2.1,0.0,0.0172133562,0.9998518392,0.8660254038,-0.5,0,0.0
2026-01-01 09:00:00,19.1,37,1015.9,2.6,0.0,0.0172133562,0.9998518392,0.7071067812,-0.7071067812,0,0.0
2026-01-01 10:00:00,22.0,29,1015.4,3.6,0.0,0.0172133562,0.9998518392,0.5,-0.8660254038,0,0.0
2026-01-01 11:00:00,24.2,24,1015.0,6.0,0.0,0.0172133562,0.9998518392,0.2588190451,-0.9659258263,0,0.0
2026-01-01 12:00:00,25.8,20,1014.3,8.6,0.0,0.0172133562,0.9998518392,0.0,-1.0,0,0.0
2026-01-01 13:00:00,26.7,20,1013.7,11.3,0.0,0.0172133562,0.9998518392,-0.2588190451,-0.9659258263,0,0.0
2026-01-01 14:00:00,27.0,21,1013.5,13.9,0.0,0.0172133562,0.9998518392,-0.5,-0.8660254038,0,0.0
2026-01-01 15:00:00,27.2,22,1012.9,14.0,0.0,0.0172133562,0.9998518392,-0.7071067812,-0.7071067812,0,0.0
2026-01-01 16:00:00,26.7,25,1012.6,14.4,0.0,0.0172133562,0.9998518392,-0.8660254038,-0.5,0,0.0
2026-01-01 17:00:00,25.8,29,1012.4,14.0,0.0,0.0172133562,0.9998518392,-0.9659258263,-0.2588190451,0,0.0
2026-01-01 18:00:00,24.0,35,1013.0,14.0,0.0,0.0172133562,0.9998518392,-1.0,-0.0,0,0.0
